('1098', '1144', '1157', '1365')

('1098', '1114', '1144', '1157')

('1114', '1144', '1148', '1157')

('1098', '1115', '1149')

('1098', '1144', '1149')

('1098', '1196', '1210')

('1098', '1164', '1179')

('1098', '1144', '1196')

('1098', '1164', '1191')

('1098', '1144', '1209')

('1098', '1210', '1625')

('1100', '1144', '1157')

('1108', '1115', '1295')

('1108', '1144', '1157')

('1109', '1115', '1625')

('1109', '1115', '1391')

('1109', '1210', '1625')

('1109', '1210', '1378')

('1115', '1130', '1295')

('1115', '1149', '1295')

('1115', '1210', '1221')

('1115', '1179', '1295')

('1115', '1295', '1393')

('1115', '1210', '1625')

('1115', '1391', '1658')

('1115', '1295', '1320')

('1115', '1210', '1391')

('1115', '1295', '1391')

('1115', '1260', '1295')

('1115', '1159', '1210')

('1115', '1295', '1401')

('1115', '1205', '1658')

('1144', '1157', '1378')

('1144', '1157', '1658')

('1144', '1157', '1625')

('1144', '1149', '1159')

('1144', '1159', '1179')

('1144', '1159', '1365')

('1144', '1157', '1629')

('1144', '1159', '1660')

('1144', '1157', '1383')

('1144', '1149', '1157')

('1144', '1159', '1193')

('1144', '1157', '1209')

('1144', '1157', '1190')

('1144', '1157', '1179')

('1144', '1159', '1625')

('1157', '1159', '1383')

('1157', '1159', '1701')

('1157', '1159', '1625')

('1157', '1159', '1378')

('1157', '1159', '1373')

('1157', '1159', '1209')

('1164', '1190', '1295')

('1164', '1181', '1190')

('1181', '1391', '1658')

('1190', '1295', '1658')

('1210', '1295', '1362')

('1485', '1613')
